,episode length,cumulative reward,average reward
0,1016,24.0,0.023622047244094488
1,1091,22.0,0.02016498625114574
2,1021,34.0,0.03330068560235064
3,1071,21.0,0.0196078431372549
4,885,33.0,0.03728813559322034
5,882,27.0,0.030612244897959183
6,1063,33.0,0.031044214487300093
7,902,12.0,0.013303769401330377
8,549,17.0,0.030965391621129327
9,1091,27.0,0.02474793767186068
10,912,21.0,0.023026315789473683
11,1217,39.0,0.03204601479046836
12,702,18.0,0.02564102564102564
13,1259,21.0,0.016679904686258934
14,694,19.0,0.027377521613832854
15,1201,29.0,0.02414654454621149
16,1118,30.0,0.026833631484794274
17,1201,29.0,0.02414654454621149
18,887,27.0,0.030439684329199548
19,895,30.0,0.0335195530726257
20,1350,44.0,0.03259259259259259
21,985,35.0,0.03553299492385787
22,1215,33.0,0.027160493827160494
23,1027,23.0,0.022395326192794548
24,1021,24.0,0.023506366307541625
25,786,20.0,0.02544529262086514
26,920,25.0,0.02717391304347826
27,1366,28.0,0.020497803806734993
28,1072,37.0,0.03451492537313433
29,736,26.0,0.035326086956521736
30,929,19.0,0.02045209903121636
31,1522,53.0,0.03482260183968462
32,1342,29.0,0.021609538002980627
33,934,20.0,0.021413276231263382
34,1217,23.0,0.018898931799506986
35,805,20.0,0.024844720496894408
36,664,19.0,0.0286144578313253
37,1642,59.0,0.035931790499390985
38,883,15.0,0.01698754246885617
39,1073,40.0,0.03727865796831314
40,1072,28.0,0.026119402985074626
41,1332,36.0,0.02702702702702703
42,663,15.0,0.02262443438914027
43,799,13.0,0.016270337922403004
44,1336,34.0,0.025449101796407185
45,1363,43.0,0.03154805575935436
46,950,36.0,0.037894736842105266
47,1113,18.0,0.016172506738544475
48,921,21.0,0.02280130293159609
49,1291,34.0,0.026336173508907823
50,763,16.0,0.020969855832241154
51,862,17.0,0.019721577726218097
52,858,15.0,0.017482517482517484
53,1160,42.0,0.03620689655172414
54,858,18.0,0.02097902097902098
55,1123,35.0,0.031166518254674976
56,1125,28.0,0.024888888888888887
57,1017,15.0,0.014749262536873156
58,693,17.0,0.024531024531024532
59,1491,44.0,0.029510395707578806
60,1581,40.0,0.02530044275774826
61,1457,47.0,0.03225806451612903
62,1603,38.0,0.023705552089831567
63,550,24.0,0.04363636363636364
64,617,18.0,0.029173419773095625
65,1404,25.0,0.017806267806267807
66,1005,26.0,0.025870646766169153
67,777,17.0,0.021879021879021878
68,830,11.0,0.01325301204819277
69,1324,33.0,0.024924471299093656
70,920,25.0,0.02717391304347826
71,1361,26.0,0.019103600293901544
72,1450,46.0,0.031724137931034485
73,635,13.0,0.02047244094488189
74,914,27.0,0.02954048140043764
75,841,34.0,0.04042806183115339
76,709,16.0,0.022566995768688293
77,1008,24.0,0.023809523809523808
78,1530,28.0,0.018300653594771243
79,973,25.0,0.025693730729701953
80,910,22.0,0.024175824175824177
81,846,20.0,0.02364066193853428
82,1320,42.0,0.031818181818181815
83,902,20.0,0.022172949002217297
84,1240,22.0,0.017741935483870968
85,1040,19.0,0.01826923076923077
86,714,16.0,0.022408963585434174
87,1005,18.0,0.01791044776119403
88,891,20.0,0.02244668911335578
89,1172,53.0,0.04522184300341297
90,1127,31.0,0.027506654835847383
91,1098,44.0,0.04007285974499089
92,869,25.0,0.028768699654775604
93,1047,35.0,0.033428844317096466
94,1103,30.0,0.027198549410698096
95,1272,23.0,0.018081761006289308
96,1164,25.0,0.02147766323024055
97,1079,33.0,0.030583873957367932
98,1060,28.0,0.026415094339622643
99,855,15.0,0.017543859649122806
