,episode length,cumulative reward,average reward
0,920,42.0,0.04565217391304348
1,820,30.0,0.036585365853658534
2,807,23.0,0.028500619578686492
3,793,28.0,0.03530895334174023
4,1151,41.0,0.035621198957428324
5,922,28.0,0.03036876355748373
6,1026,43.0,0.04191033138401559
7,739,23.0,0.03112313937753721
8,802,19.0,0.02369077306733167
9,729,20.0,0.027434842249657063
10,1068,38.0,0.035580524344569285
11,661,16.0,0.024205748865355523
12,753,18.0,0.02390438247011952
13,845,20.0,0.023668639053254437
14,723,20.0,0.027662517289073305
15,1273,40.0,0.031421838177533384
16,935,31.0,0.033155080213903745
17,506,10.0,0.019762845849802372
18,886,21.0,0.023702031602708805
19,986,29.0,0.029411764705882353
20,792,19.0,0.023989898989898988
21,705,20.0,0.028368794326241134
22,807,18.0,0.022304832713754646
23,675,15.0,0.022222222222222223
24,992,41.0,0.04133064516129032
25,744,25.0,0.033602150537634407
26,777,30.0,0.03861003861003861
27,821,21.0,0.025578562728380026
28,944,29.0,0.03072033898305085
29,975,28.0,0.028717948717948718
30,1169,53.0,0.045337895637296836
31,582,16.0,0.027491408934707903
32,791,25.0,0.0316055625790139
33,901,32.0,0.03551609322974473
34,714,20.0,0.028011204481792718
35,780,35.0,0.04487179487179487
36,584,13.0,0.02226027397260274
37,816,27.0,0.03308823529411765
38,804,26.0,0.03233830845771144
39,834,32.0,0.03836930455635491
40,569,15.0,0.026362038664323375
41,1033,32.0,0.030977734753146177
42,667,19.0,0.02848575712143928
43,674,15.0,0.02225519287833828
44,991,32.0,0.03229061553985873
45,953,36.0,0.03777544596012592
46,932,31.0,0.033261802575107295
47,816,29.0,0.03553921568627451
48,859,22.0,0.025611175785797437
49,1054,35.0,0.03320683111954459
50,1154,44.0,0.038128249566724434
51,779,25.0,0.03209242618741977
52,790,20.0,0.02531645569620253
53,715,19.0,0.026573426573426574
54,934,28.0,0.029978586723768737
55,703,19.0,0.02702702702702703
56,701,16.0,0.02282453637660485
57,833,25.0,0.030012004801920768
58,674,15.0,0.02225519287833828
59,733,28.0,0.03819918144611187
60,785,22.0,0.02802547770700637
61,791,28.0,0.035398230088495575
62,648,14.0,0.021604938271604937
63,749,17.0,0.022696929238985315
64,737,39.0,0.052917232021709636
65,704,20.0,0.028409090909090908
66,866,31.0,0.03579676674364896
67,898,28.0,0.031180400890868598
68,764,25.0,0.032722513089005235
69,643,16.0,0.024883359253499222
