,episode length,cumulative reward,average reward
0,845,27.0,0.03195266272189349
1,921,32.0,0.03474484256243214
2,614,19.0,0.030944625407166124
3,690,16.0,0.02318840579710145
4,888,33.0,0.037162162162162164
5,1248,43.0,0.03445512820512821
6,931,31.0,0.03329752953813104
7,1058,41.0,0.038752362948960305
8,613,14.0,0.022838499184339316
9,684,18.0,0.02631578947368421
10,997,29.0,0.029087261785356068
11,821,33.0,0.040194884287454324
12,947,30.0,0.03167898627243928
13,857,30.0,0.03500583430571762
14,822,25.0,0.030413625304136254
15,936,36.0,0.038461538461538464
16,835,29.0,0.03473053892215569
17,646,15.0,0.02321981424148607
18,788,27.0,0.03426395939086294
19,642,20.0,0.03115264797507788
20,820,21.0,0.025609756097560974
21,1230,41.0,0.03333333333333333
22,913,26.0,0.028477546549835708
23,806,19.0,0.02357320099255583
24,866,32.0,0.03695150115473441
25,936,25.0,0.026709401709401708
26,856,20.0,0.02336448598130841
27,853,27.0,0.031652989449003514
28,805,22.0,0.02732919254658385
29,891,35.0,0.03928170594837262
30,790,24.0,0.030379746835443037
31,918,22.0,0.023965141612200435
32,825,34.0,0.041212121212121214
33,650,17.0,0.026153846153846153
34,862,25.0,0.029002320185614848
35,794,26.0,0.0327455919395466
36,761,17.0,0.022339027595269383
37,1046,35.0,0.033460803059273424
38,861,28.0,0.032520325203252036
39,883,27.0,0.030577576443941108
40,824,19.0,0.023058252427184466
41,777,19.0,0.02445302445302445
42,932,31.0,0.033261802575107295
43,840,26.0,0.030952380952380953
44,1026,30.0,0.029239766081871343
45,1085,30.0,0.027649769585253458
46,746,18.0,0.024128686327077747
47,625,17.0,0.0272
48,809,30.0,0.037082818294190356
49,861,31.0,0.036004645760743324
50,748,23.0,0.03074866310160428
51,862,34.0,0.03944315545243619
52,789,29.0,0.036755386565272496
53,871,27.0,0.030998851894374284
54,1248,40.0,0.03205128205128205
55,853,34.0,0.03985932004689332
56,728,21.0,0.028846153846153848
57,1004,37.0,0.036852589641434265
58,909,27.0,0.0297029702970297
59,621,13.0,0.020933977455716585
60,946,30.0,0.03171247357293869
61,1078,34.0,0.03153988868274583
62,756,18.0,0.023809523809523808
63,710,19.0,0.02676056338028169
64,1276,50.0,0.03918495297805643
65,1083,31.0,0.028624192059095107
66,867,26.0,0.029988465974625143
67,696,21.0,0.03017241379310345
68,851,20.0,0.023501762632197415
69,751,18.0,0.023968042609853527
70,631,14.0,0.022187004754358162
71,765,20.0,0.026143790849673203
72,887,27.0,0.030439684329199548
73,872,22.0,0.02522935779816514
74,634,13.0,0.02050473186119874
75,723,18.0,0.024896265560165973
76,908,33.0,0.03634361233480176
77,757,24.0,0.031704095112285335
78,1169,43.0,0.036783575705731396
79,1017,34.0,0.03343166175024582
80,626,17.0,0.027156549520766772
81,983,37.0,0.03763987792472025
82,713,20.0,0.028050490883590462
83,579,22.0,0.037996545768566495
84,884,28.0,0.03167420814479638
85,812,30.0,0.03694581280788178
86,730,24.0,0.03287671232876712
87,882,29.0,0.032879818594104306
88,966,36.0,0.037267080745341616
89,912,39.0,0.04276315789473684
90,1203,43.0,0.03574397339983375
91,882,21.0,0.023809523809523808
92,855,27.0,0.031578947368421054
93,927,29.0,0.03128371089536138
94,951,36.0,0.03785488958990536
95,913,22.0,0.024096385542168676
96,748,27.0,0.03609625668449198
97,785,29.0,0.03694267515923567
98,791,19.0,0.02402022756005057
99,896,25.0,0.027901785714285716
