,episode length,cumulative reward,average reward
0,700,12.0,0.017142857142857144
1,919,23.0,0.025027203482045703
2,683,14.0,0.020497803806734993
3,656,10.0,0.01524390243902439
4,641,10.0,0.015600624024960999
5,301,4.0,0.013289036544850499
6,771,24.0,0.0311284046692607
7,706,15.0,0.021246458923512748
8,750,14.0,0.018666666666666668
9,609,13.0,0.021346469622331693
10,853,18.0,0.021101992966002344
11,836,20.0,0.023923444976076555
12,734,20.0,0.027247956403269755
13,552,10.0,0.018115942028985508
14,680,15.0,0.022058823529411766
15,572,13.0,0.022727272727272728
16,725,12.0,0.016551724137931035
17,709,15.0,0.021156558533145273
18,772,29.0,0.03756476683937824
19,540,16.0,0.02962962962962963
20,768,6.0,0.0078125
21,723,23.0,0.0318118948824343
22,902,26.0,0.028824833702882482
23,664,16.0,0.024096385542168676
24,657,28.0,0.0426179604261796
25,622,12.0,0.01929260450160772
26,595,13.0,0.021848739495798318
27,763,16.0,0.020969855832241154
28,640,10.0,0.015625
29,567,13.0,0.02292768959435626
30,738,15.0,0.02032520325203252
31,799,15.0,0.01877346683354193
32,557,7.0,0.012567324955116697
33,972,23.0,0.023662551440329218
34,534,14.0,0.026217228464419477
35,459,8.0,0.017429193899782137
36,522,8.0,0.01532567049808429
37,799,17.0,0.02127659574468085
38,1171,24.0,0.02049530315969257
39,806,19.0,0.02357320099255583
40,972,20.0,0.0205761316872428
41,837,8.0,0.009557945041816009
42,833,14.0,0.01680672268907563
43,586,7.0,0.011945392491467578
44,868,23.0,0.026497695852534562
45,921,14.0,0.01520086862106406
46,571,12.0,0.021015761821366025
47,781,9.0,0.011523687580025609
48,623,3.0,0.004815409309791332
49,581,12.0,0.020654044750430294
50,521,7.0,0.013435700575815739
51,619,12.0,0.01938610662358643
52,681,20.0,0.02936857562408223
53,703,10.0,0.01422475106685633
54,497,9.0,0.018108651911468814
55,711,17.0,0.02390998593530239
56,728,10.0,0.013736263736263736
57,892,14.0,0.01569506726457399
58,704,10.0,0.014204545454545454
59,619,10.0,0.01615508885298869
60,809,16.0,0.019777503090234856
61,754,12.0,0.015915119363395226
62,643,5.0,0.007776049766718507
63,1069,22.0,0.0205799812909261
64,872,17.0,0.0194954128440367
65,956,27.0,0.028242677824267783
66,490,9.0,0.018367346938775512
67,565,8.0,0.01415929203539823
68,768,14.0,0.018229166666666668
69,709,12.0,0.01692524682651622
70,1211,19.0,0.01568951279933939
71,357,3.0,0.008403361344537815
72,683,11.0,0.016105417276720352
73,622,11.0,0.017684887459807074
74,458,5.0,0.010917030567685589
75,829,11.0,0.013268998793727383
76,1152,8.0,0.006944444444444444
77,644,11.0,0.017080745341614908
78,846,12.0,0.014184397163120567
79,651,12.0,0.018433179723502304
80,1002,18.0,0.017964071856287425
81,680,15.0,0.022058823529411766
82,431,7.0,0.016241299303944315
83,728,8.0,0.01098901098901099
84,755,17.0,0.022516556291390728
85,356,8.0,0.02247191011235955
86,736,26.0,0.035326086956521736
87,406,7.0,0.017241379310344827
88,456,9.0,0.019736842105263157
89,559,8.0,0.014311270125223614
90,673,21.0,0.031203566121842496
91,799,18.0,0.02252816020025031
92,822,22.0,0.0267639902676399
93,699,16.0,0.022889842632331903
94,623,9.0,0.014446227929373997
95,625,10.0,0.016
96,917,27.0,0.029443838604143947
97,442,8.0,0.01809954751131222
98,1159,14.0,0.012079378774805867
99,499,0.0,0.0
