,episode length,cumulative reward,average reward
0,731,15.0,0.02051983584131327
1,1045,26.0,0.024880382775119617
2,1529,41.0,0.026814911706998037
3,988,28.0,0.02834008097165992
4,943,26.0,0.027571580063626724
5,759,22.0,0.028985507246376812
6,1200,32.0,0.02666666666666667
7,1306,33.0,0.02526799387442573
8,475,10.0,0.021052631578947368
9,1046,29.0,0.027724665391969407
10,938,23.0,0.024520255863539446
11,975,26.0,0.02666666666666667
12,1076,29.0,0.02695167286245353
13,1277,36.0,0.028191072826938137
14,1123,30.0,0.026714158504007122
15,736,17.0,0.02309782608695652
16,704,21.0,0.029829545454545456
17,605,13.0,0.021487603305785124
18,1173,31.0,0.026427962489343565
19,1004,26.0,0.025896414342629483
20,890,22.0,0.024719101123595506
21,697,17.0,0.024390243902439025
22,1299,34.0,0.02617397998460354
23,1013,27.0,0.02665350444225074
24,838,26.0,0.031026252983293555
25,740,17.0,0.022972972972972974
26,586,15.0,0.025597269624573378
27,1362,38.0,0.027900146842878122
28,1004,26.0,0.025896414342629483
29,807,19.0,0.023543990086741014
30,652,16.0,0.024539877300613498
31,866,21.0,0.02424942263279446
32,964,27.0,0.028008298755186723
33,1107,30.0,0.02710027100271003
34,1368,36.0,0.02631578947368421
35,909,27.0,0.0297029702970297
36,1449,38.0,0.026224982746721876
37,1114,27.0,0.02423698384201077
38,738,17.0,0.023035230352303523
39,703,18.0,0.025604551920341393
40,1058,25.0,0.023629489603024575
41,646,17.0,0.02631578947368421
42,1028,27.0,0.026264591439688716
43,1233,31.0,0.025141930251419302
44,1034,28.0,0.027079303675048357
45,1313,37.0,0.02817974105102818
46,1235,33.0,0.026720647773279354
47,1118,30.0,0.026833631484794274
48,995,25.0,0.02512562814070352
49,652,20.0,0.03067484662576687
50,1203,30.0,0.02493765586034913
51,1230,34.0,0.027642276422764227
52,1022,26.0,0.025440313111545987
53,1385,38.0,0.027436823104693142
54,748,18.0,0.02406417112299465
55,884,21.0,0.023755656108597284
56,1240,32.0,0.025806451612903226
57,972,29.0,0.029835390946502057
58,907,23.0,0.025358324145534728
59,1083,26.0,0.024007386888273315
60,1388,34.0,0.024495677233429394
61,1170,28.0,0.023931623931623933
62,975,23.0,0.02358974358974359
63,980,25.0,0.025510204081632654
64,1222,33.0,0.027004909983633387
65,1158,33.0,0.02849740932642487
66,757,18.0,0.023778071334214
67,1291,34.0,0.026336173508907823
68,1328,35.0,0.02635542168674699
69,719,19.0,0.02642559109874826
70,1092,27.0,0.024725274725274724
71,1045,28.0,0.026794258373205742
72,719,22.0,0.030598052851182198
73,1151,27.0,0.023457862728062554
74,1463,40.0,0.02734107997265892
75,1228,34.0,0.02768729641693811
76,980,26.0,0.026530612244897958
77,761,20.0,0.026281208935611037
78,1297,31.0,0.023901310717039322
79,1127,32.0,0.02839396628216504
80,1208,31.0,0.02566225165562914
81,1304,35.0,0.026840490797546013
82,1469,36.0,0.02450646698434309
83,760,20.0,0.02631578947368421
84,1063,28.0,0.02634054562558796
85,1138,31.0,0.027240773286467488
86,779,18.0,0.023106546854942234
87,885,24.0,0.02711864406779661
88,660,19.0,0.02878787878787879
89,985,23.0,0.023350253807106598
90,1256,30.0,0.02388535031847134
91,1143,31.0,0.02712160979877515
92,926,22.0,0.023758099352051837
93,996,32.0,0.0321285140562249
94,1117,33.0,0.02954341987466428
95,1043,26.0,0.024928092042186004
96,1295,32.0,0.02471042471042471
97,891,24.0,0.026936026936026935
98,845,23.0,0.027218934911242602
99,939,26.0,0.027689030883919063
