,episode length,cumulative reward,average reward
0,1000,42.0,0.042
1,1095,40.0,0.0365296803652968
2,645,23.0,0.03565891472868217
3,1098,35.0,0.031876138433515486
4,843,34.0,0.04033214709371293
5,642,25.0,0.03894080996884735
6,630,14.0,0.022222222222222223
7,972,37.0,0.03806584362139918
8,833,30.0,0.03601440576230492
9,1138,42.0,0.03690685413005272
10,800,21.0,0.02625
11,824,23.0,0.027912621359223302
12,673,16.0,0.0237741456166419
13,693,27.0,0.03896103896103896
14,1213,51.0,0.04204451772464963
15,840,34.0,0.04047619047619048
16,1046,36.0,0.03441682600382409
17,1124,42.0,0.037366548042704624
18,845,26.0,0.03076923076923077
19,1069,40.0,0.037418147801683815
20,984,28.0,0.028455284552845527
21,1289,54.0,0.04189294026377036
22,1053,45.0,0.042735042735042736
23,1221,49.0,0.04013104013104013
24,1423,54.0,0.03794799718903725
25,1416,47.0,0.033192090395480225
26,1363,64.0,0.04695524578136464
27,917,26.0,0.028353326063249727
28,1233,49.0,0.039740470397404706
29,984,35.0,0.03556910569105691
30,1158,58.0,0.05008635578583765
31,758,18.0,0.023746701846965697
32,1405,53.0,0.03772241992882562
33,1271,51.0,0.04012588512981904
34,844,22.0,0.026066350710900472
35,521,11.0,0.02111324376199616
36,1079,39.0,0.03614457831325301
37,1052,31.0,0.029467680608365018
38,1343,50.0,0.03723008190618019
39,1042,37.0,0.03550863723608445
40,897,32.0,0.03567447045707915
41,1060,44.0,0.04150943396226415
42,1012,40.0,0.039525691699604744
43,874,28.0,0.032036613272311214
44,1122,27.0,0.02406417112299465
45,694,20.0,0.02881844380403458
46,836,21.0,0.025119617224880382
47,681,17.0,0.024963289280469897
48,797,26.0,0.03262233375156838
49,983,34.0,0.03458799593082401
50,1066,35.0,0.03283302063789869
51,1084,42.0,0.03874538745387454
52,750,21.0,0.028
53,1323,57.0,0.04308390022675737
54,1183,49.0,0.04142011834319527
55,780,21.0,0.026923076923076925
56,668,19.0,0.02844311377245509
57,840,25.0,0.02976190476190476
58,983,38.0,0.038657171922685654
59,653,15.0,0.022970903522205207
60,669,31.0,0.04633781763826607
61,1227,43.0,0.03504482477587612
62,830,38.0,0.04578313253012048
63,866,25.0,0.028868360277136258
64,1192,43.0,0.03607382550335571
65,762,19.0,0.024934383202099737
66,1009,55.0,0.05450941526263627
67,1327,54.0,0.04069329314242653
68,807,22.0,0.027261462205700124
69,1663,238.0,0.14311485267588694
70,1043,42.0,0.040268456375838924
71,643,15.0,0.02332814930015552
72,1062,33.0,0.031073446327683617
73,634,15.0,0.02365930599369085
74,1061,27.0,0.02544769085768143
75,1099,37.0,0.03366696997270246
76,1266,47.0,0.03712480252764613
77,1111,51.0,0.04590459045904591
78,890,31.0,0.0348314606741573
79,825,22.0,0.02666666666666667
80,1353,56.0,0.04138950480413895
81,589,16.0,0.027164685908319185
82,891,27.0,0.030303030303030304
83,736,20.0,0.02717391304347826
84,850,34.0,0.04
85,942,33.0,0.03503184713375796
86,680,29.0,0.04264705882352941
87,948,37.0,0.039029535864978905
88,789,26.0,0.032953105196451206
89,1362,57.0,0.04185022026431718
90,1046,44.0,0.04206500956022945
91,1148,45.0,0.039198606271777
92,587,16.0,0.027257240204429302
93,972,35.0,0.0360082304526749
94,1080,29.0,0.026851851851851852
95,694,21.0,0.03025936599423631
96,920,31.0,0.03369565217391304
97,804,24.0,0.029850746268656716
98,792,21.0,0.026515151515151516
99,1206,43.0,0.03565505804311774
